id,system,english,spanish_before,risk_class,gameplay_critical,source_file,source_line,actor,scene,context_summary,evidence,glossary_terms,issue_found,decision,spanish_after,confidence,reviewer_note
Rando::CUSTOM_MSG::L604,MAIN_GAME,Water level control system. Keep away!,Sistema de control del nivel de agua. ¡Mantente alejado!,CRITICAL_GAMEPLAY,YES,soh/soh/Enhancements/randomizer/randomizer.cpp,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,Sistema de control del nivel de agua. ¡Mantente alejado!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0018,MAIN_GAME,"Welcome to our cutting-edge  amusement center: --- PAGE --- The Bombchu Bowling Alley! --- PAGE --- Do you want to know what you  can win? Well, it's a secret. I can't tell you until you've paid to play. --- PAGE --- It's 30 Rupees per game. Do you want to play? [CHOICE:2]Yes No","¡Bienvenido a nuestro centro de entretenimiento de vanguardia: --- PAGE --- ¡La Bolera Bombchu! --- PAGE --- ¿Quieres saber qué puedes ganar? Bueno, es un secreto. No puedo decírtelo hasta que hayas pagado para jugar. --- PAGE --- Cuesta 30 Rupias por juego. ¿Quieres jugar? [CHOICE:2]Sí No",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Bienvenido a nuestro centro de entretenimiento de vanguardia: --- PAGE --- ¡La Bolera Bombchu! --- PAGE --- ¿Quieres saber qué puedes ganar? Bueno, es un secreto. No puedo decírtelo hasta que hayas pagado para jugar. --- PAGE --- Cuesta 30 Rupias por juego. ¿Quieres jugar? [CHOICE:2]Sí No",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x001A,MAIN_GAME,Do you want to play again?  [CHOICE:2]Yes No,¿Quieres jugar de nuevo?  [CHOICE:2]Sí No,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¿Quieres jugar de nuevo?  [CHOICE:2]Sí No,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0026,MAIN_GAME,"We all look like this because of the spider's curse. --- PAGE --- If every Spider of the Curse in the entire world were destroyed, the curse would be broken. --- PAGE --- When you destroy a Spider of the  Curse, a token will appear. Collect it as proof of your achievement. --- PAGE --- The number next to this icon on the Quest Status Subscreen  indicates how many Spiders of the  Curse you have destroyed so far. --- PAGE --- When this icon is displayed  next to the name of the area on the Map Subscreen, there are no more Spiders in that area.","Todos nos vemos así por la maldición de la araña. --- PAGE --- Si cada Araña de la Maldición en todo el mundo fuera destruida, la maldición sería rota. --- PAGE --- Cuando destruyes una Araña de la Maldición, aparecerá un símbolo. Recógelo como prueba de tu logro. --- PAGE --- El número junto a este icono en el submenú de Estado de Misión indica cuántas Arañas de la Maldición has destruido hasta ahora. --- PAGE --- Cuando este icono se muestra junto al nombre del área en el submenú de Mapa, no quedan más Arañas en esa área.",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"Todos nos vemos así por la maldición de la araña. --- PAGE --- Si cada Araña de la Maldición en todo el mundo fuera destruida, la maldición sería rota. --- PAGE --- Cuando destruyes una Araña de la Maldición, aparecerá un símbolo. Recógelo como prueba de tu logro. --- PAGE --- El número junto a este icono en el submenú de Estado de Misión indica cuántas Arañas de la Maldición has destruido hasta ahora. --- PAGE --- Cuando este icono se muestra junto al nombre del área en el submenú de Mapa, no quedan más Arañas en esa área.",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x002B,MAIN_GAME,Do you want to play a game? It's 20 Rupees per play. [CHOICE:2]Yes Nope,¿Quieres jugar un juego? Cuesta 20 Rupias por juego. [CHOICE:2]Sí No,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¿Quieres jugar un juego? Cuesta 20 Rupias por juego. [CHOICE:2]Sí No,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x002D,MAIN_GAME,All right. You don't have to play if you don't want to.,Está bien. No tienes que jugar si no quieres.,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,Está bien. No tienes que jugar si no quieres.,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x003A,MAIN_GAME,You found the Ocarina of Time! This is the Royal Family's hidden  treasure which Zelda left behind. It glows with a mystical light...,¡Encontraste la Ocarina del Tiempo! Este es el tesoro oculto de la Familia Real que Zelda dejó atrás. Brilla con una luz mística...,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Encontraste la Ocarina del Tiempo! Este es el tesoro oculto de la Familia Real que Zelda dejó atrás. Brilla con una luz mística...,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x004A,MAIN_GAME,"You received the Fairy Ocarina! This is a memento from Saria. Set it to [C] and press [C] to start playing it! --- PAGE --- On the Select Item Subscreen, you can set it to [R], [L] or [Z], and then use that [C] to start playing it. --- PAGE --- You can play different notes with [A] and the four [C] Buttons.  Press [B] to quit playing, or  to start your song over again.","¡Recibiste la Ocarina de Hada! Este es un recuerdo de Saria. Asigna a [C] y presiona [C] ¡para empezar a tocarla! --- PAGE --- En el submenú de Selección de Items, puedes asignarla a [R], [L] o [Z], y luego usar [C] para empezar a tocarla. --- PAGE --- Puedes tocar diferentes notas con [A] y los cuatro botones [C]. Presiona [B] para dejar de tocar, o para empezar tu canción de nuevo.",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Recibiste la Ocarina de Hada! Este es un recuerdo de Saria. Asigna a [C] y presiona [C] ¡para empezar a tocarla! --- PAGE --- En el submenú de Selección de Items, puedes asignarla a [R], [L] o [Z], y luego usar [C] para empezar a tocarla. --- PAGE --- Puedes tocar diferentes notas con [A] y los cuatro botones [C]. Presiona [B] para dejar de tocar, o para empezar tu canción de nuevo.",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x004C,MAIN_GAME,"You got a Deku Shield! Switch to the Equipment  Subscreen and select the shield. Press [A] to equip it. --- PAGE --- Press [C-Down] to crouch and defend. If you press [C-Down] while  [C-Left] Targeting, you can move while defending.","¡Obtuviste un Escudo Deku! Cambia al submenú de Equipo y selecciona el escudo. Presiona [A] para equiparlo. --- PAGE --- Presiona [C-Down] para agacharte y defenderte. Si presionas [C-Down] mientras tienes [C-Left] como objetivo, puedes moverte defendiendo.",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Obtuviste un Escudo Deku! Cambia al submenú de Equipo y selecciona el escudo. Presiona [A] para equiparlo. --- PAGE --- Presiona [C-Down] para agacharte y defenderte. Si presionas [C-Down] mientras tienes [C-Left] como objetivo, puedes moverte defendiendo.",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x004D,MAIN_GAME,"You got a Hylian Shield! Switch to the Equipment  Subscreen and select this shield, then equip it with [A].","¡Obtuviste un Escudo Hyliano! Cambia al submenú de Equipo y selecciona este escudo, luego equípalo con [A].",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Obtuviste un Escudo Hyliano! Cambia al submenú de Equipo y selecciona este escudo, luego equípalo con [A].",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
