id,system,english,spanish,is_intentional_proper_noun,is_cvar_identifier,status,notes
Z_MESSAGE_OTR::L142,MAIN_GAME,\x08,\x08,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x00C0,MAIN_GAME,zzzzz...zzzzz...,zzzzz...zzzzz...,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01A2,MAIN_GAME,01a2,01a2,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01A4,MAIN_GAME,01a4,01a4,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01A6,MAIN_GAME,01a6,01a6,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01A8,MAIN_GAME,01a8,01a8,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01AA,MAIN_GAME,01aa,01aa,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01AC,MAIN_GAME,01ac,01ac,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01AD,MAIN_GAME,01ad,01ad,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01AE,MAIN_GAME,01ae,01ae,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01AF,MAIN_GAME,01af,01af,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01B0,MAIN_GAME,01b0,01b0,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x01B1,MAIN_GAME,01B1,01B1,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x023B,MAIN_GAME,....???,....???,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x032C,MAIN_GAME,032c,032c,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x0421,MAIN_GAME,0421,0421,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x060B,MAIN_GAME,060b,060b,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x062C,MAIN_GAME,062c,062c,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x0638,MAIN_GAME,0638,0638,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x063C,MAIN_GAME,063c,063c,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x064A,MAIN_GAME,064a,064a,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x064B,MAIN_GAME,064b,064b,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x1084,MAIN_GAME,Din...,Din...,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x1086,MAIN_GAME,Nayru...,Nayru...,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x1088,MAIN_GAME,Farore...,Farore...,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x204B,MAIN_GAME,Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z...,Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z...,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2093,MAIN_GAME,2093,2093,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2094,MAIN_GAME,2094,2094,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2095,MAIN_GAME,2095,2095,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2096,MAIN_GAME,2096,2096,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2097,MAIN_GAME,2097,2097,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2098,MAIN_GAME,2098,2098,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x2099,MAIN_GAME,2099,2099,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x209A,MAIN_GAME,209A,209A,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x209B,MAIN_GAME,209B,209B,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x209C,MAIN_GAME,209C,209C,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x209D,MAIN_GAME,209D,209D,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x209E,MAIN_GAME,209E,209E,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x209F,MAIN_GAME,209F,209F,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x3072,MAIN_GAME,3072,3072,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x3073,MAIN_GAME,3073,3073,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
