id,tier,english,spanish,tier_preserved,semantic_issue,humor_issue,decision
Hint::RHT_DEKU_TREE_MAP_CHEST::0,CLEAR,They say that in the #center of the Deku Tree# lies #[1]#.,Dicen que en el #centro del Árbol Deku# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_SLINGSHOT_CHEST::1,CLEAR,They say that the #treasure guarded by a scrub# in the Deku Tree is #[1]#.,Dicen que el #tesoro custodiado por un scrub# en el Árbol Deku es #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_SLINGSHOT_ROOM_SIDE_CHEST::2,CLEAR,They say that the #treasure guarded by a scrub# in the Deku Tree is #[1]#.,Dicen que el #tesoro custodiado por un scrub# en el Árbol Deku es #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_COMPASS_CHEST::3,CLEAR,They say that #pillars of wood# in the Deku Tree lead to #[1]#.,Dicen que los #pilares de madera# en el Árbol Deku conducen a #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_COMPASS_ROOM_SIDE_CHEST::4,CLEAR,They say that #pillars of wood# in the Deku Tree lead to #[1]#.,Dicen que los #pilares de madera# en el Árbol Deku conducen a #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_BASEMENT_CHEST::5,CLEAR,They say that #webs in the Deku Tree# hide #[1]#.,Dicen que las #telarañas en el Árbol Deku# esconden #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_MAP_CHEST::6,CLEAR,They say that in the #center of the Deku Tree# lies #[1]#.,Dicen que en el #centro del Árbol Deku# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_COMPASS_CHEST::7,CLEAR,They say that a #treasure guarded by a large spider# in the Deku Tree is #[1]#.,Dicen que un #tesoro custodiado por una araña gigante# en el Árbol Deku es #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_SLINGSHOT_CHEST::8,CLEAR,They say that #pillars of wood# in the Deku Tree lead to #[1]#.,Dicen que los #pilares de madera# en el Árbol Deku conducen a #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_SLINGSHOT_ROOM_BACK_CHEST::9,CLEAR,They say that #pillars of wood# in the Deku Tree lead to #[1]#.,Dicen que los #pilares de madera# en el Árbol Deku conducen a #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_BASEMENT_CHEST::10,CLEAR,They say that #webs in the Deku Tree# hide #[1]#.,Dicen que las #telarañas en el Árbol Deku# esconden #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_BEFORE_SPINNING_LOG_CHEST::11,CLEAR,They say that #magical fire in the Deku Tree# leads to #[1]#.,Dicen que el #fuego mágico en el Árbol Deku# conduce a #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_QUEEN_GOHMA_HEART::12,CLEAR,They say that #Queen Gohma# holds #[1]#.,Dicen que la #Reina Gohma# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_QUEEN_GOHMA_HEART::13,CLEAR,They say that the #Parasitic Armored Arachnid# holds #[1]#.,Dicen que el #Arácnido Parásito Blindado# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_GS_BASEMENT_BACK_ROOM::14,CLEAR,They say that a #spider deep within the Deku Tree# hides #[1]#.,Dicen que una #araña en las profundidades del Árbol Deku# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_GS_BASEMENT_GATE::15,CLEAR,They say that a #web protects a spider# within the Deku Tree holding #[1]#.,Dicen que una #telaraña protege a una araña# dentro del Árbol Deku que posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_GS_BASEMENT_VINES::16,CLEAR,They say that a #web protects a spider# within the Deku Tree holding #[1]#.,Dicen que una #telaraña protege a una araña# dentro del Árbol Deku que posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_GS_COMPASS_ROOM::17,CLEAR,They say that a #spider atop the Deku Tree# holds #[1]#.,Dicen que una #araña sobre el Árbol Deku# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_GS_LOBBY::18,CLEAR,They say that a #spider in a crate# within the Deku Tree hides #[1]#.,Dicen que una #araña en una caja# dentro del Árbol Deku esconde #[1]#.,YES,NONE,NONE,PASS
