resource,object_or_scene,confidence,reason,suggested_emissive_strength_class
gMoon.rgba32.png,group:textures,LOW,no keyword evidence,MEDIUM
gNavi.rgba32.png,group:textures,MEDIUM,fairy/Navi effect keyword,STRONG
gSun.rgba32.png,group:textures,LOW,no keyword evidence,MEDIUM
gPushBlockGrayTex,object:gameplay_dangeon_keep,MEDIUM,"metal keyword; stone keyword; multiple categories plausible: METAL, STONE",MEDIUM
gCircleGlowLTex,object:gameplay_keep,HIGH,skin/body-part keyword,MEDIUM
gCircleGlowRTex,object:gameplay_keep,HIGH,skin/body-part keyword,MEDIUM
gCircleGlowSLTex,object:gameplay_keep,HIGH,skin/body-part keyword,MEDIUM
gCircleGlowSRTex,object:gameplay_keep,HIGH,skin/body-part keyword,MEDIUM
gDecorativeFlameMaskTex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gDecorativeFlameTex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame10Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame1Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame2Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame3Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame4Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame5Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame6Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame7Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame8Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffEnemyDeathFlame9Tex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gEffFireFootprint1Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint2Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint3Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint4Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint5Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint6Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint7Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffFireFootprint8Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; skin/body-part keyword; multiple categories plausible: LAVA, SKIN; IA format (ia8) carries alpha -> transparency/alpha-test likely",STRONG
gEffLightning1Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning2Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning3Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning4Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning5Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning6Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning7Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffLightning8Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffMagmaBubble1Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble2Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble3Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble4Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble5Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble6Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble7Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffMagmaBubble8Tex,object:gameplay_keep,HIGH,lava/fire keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely,STRONG
gEffSpark1Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffSpark2Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffSpark3Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffSpark4Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gEffSparklesTex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gFairyWingTex,object:gameplay_keep,MEDIUM,fairy/Navi effect keyword,STRONG
gFlameWall1Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; stone keyword; multiple categories plausible: LAVA, STONE",STRONG
gFlameWall2Tex,object:gameplay_keep,MEDIUM,"lava/fire keyword; stone keyword; multiple categories plausible: LAVA, STONE",STRONG
gLensFlareCircleTex,object:gameplay_keep,HIGH,glass keyword,MEDIUM
gLensFlareRingTex,object:gameplay_keep,HIGH,glass keyword,MEDIUM
gMoonTex,object:gameplay_keep,LOW,IA format (ia8) carries alpha -> transparency/alpha-test likely,MEDIUM
gRupeeLightRedTex,object:gameplay_keep,HIGH,metal keyword,MEDIUM
gSun1Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gSunEvening1Tex,object:gameplay_keep,LOW,no keyword evidence,MEDIUM
gTorchFlameTex,object:gameplay_keep,HIGH,lava/fire keyword,STRONG
gUnusedFairyWingTex,object:gameplay_keep,MEDIUM,fairy/Navi effect keyword,STRONG
gUnusedRupeeLightBlueTex,object:gameplay_keep,HIGH,metal keyword,MEDIUM
gBossDoorFireTex,object:object_bdoor,MEDIUM,"lava/fire keyword; wood keyword; multiple categories plausible: LAVA, WOOD",STRONG
gChuGirlUmbEarLicusTex,object:object_bg,HIGH,skin/body-part keyword,MEDIUM
gBarinadeSparkBall1Tex,object:object_bv,HIGH,metal keyword,MEDIUM
gBarinadeSparkBall2Tex,object:object_bv,HIGH,metal keyword,MEDIUM
gBarinadeSparkBall3Tex,object:object_bv,HIGH,metal keyword,MEDIUM
gBarinadeSparkBall4Tex,object:object_bv,HIGH,metal keyword,MEDIUM
gBarinadeSparkBall5Tex,object:object_bv,HIGH,metal keyword,MEDIUM
gBarinadeSparkBall6Tex,object:object_bv,HIGH,metal keyword,MEDIUM
