resource,water_type,object_or_scene,confidence,reason
gFileSelPleaseChooseAQuestENGTex.ia8.png,unknown,group:textures,HIGH,water keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely
gFileSelPleaseChooseAQuestFRATex.ia8.png,unknown,group:textures,HIGH,water keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely
gFileSelPleaseChooseAQuestGERTex.ia8.png,unknown,group:textures,HIGH,water keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely
gFileSelPleaseChooseAQuestJPNTex.ia8.png,unknown,group:textures,HIGH,water keyword; IA format (ia8) carries alpha -> transparency/alpha-test likely
gEffShockwaveTex,unknown,object:gameplay_keep,HIGH,water keyword
gEffWaterRippleTex,unknown,object:gameplay_keep,HIGH,water keyword
gEffWaterSplash1Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash2Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash3Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash4Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash5Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash6Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash7Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gEffWaterSplash8Tex,unknown,object:gameplay_keep,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gBossDoorWaterTex,unknown,object:object_bdoor,MEDIUM,"water keyword; wood keyword; multiple categories plausible: WATER, WOOD"
gFishingAquariumBottomTex,unknown,object:object_fish,HIGH,water keyword
gFishingAquariumGlassTex,unknown,object:object_fish,MEDIUM,"water keyword; glass keyword; multiple categories plausible: GLASS, WATER"
gFishingAquariumWaterTex,unknown,object:object_fish,HIGH,water keyword
gFishingStreamSplashTile1Tex,river,object:object_fish,MEDIUM,"water keyword; smoke keyword; stone keyword; multiple categories plausible: SMOKE, STONE, WATER"
gFishingStreamSplashTile2Tex,river,object:object_fish,MEDIUM,"water keyword; smoke keyword; stone keyword; multiple categories plausible: SMOKE, STONE, WATER"
gFishingWaterDustTex,unknown,object:object_fish,MEDIUM,"water keyword; smoke keyword; multiple categories plausible: SMOKE, WATER"
gBotwWater1Tex,unknown,object:object_hakach_objects,HIGH,water keyword; IA format (ia16) carries alpha -> transparency/alpha-test likely
gBotwWater2Tex,unknown,object:object_hakach_objects,HIGH,water keyword
gWarpPadSideTex,pool,object:object_mjin,HIGH,water keyword
gWarpPadTopTex,pool,object:object_mjin,HIGH,water keyword
gWaterMedallionPlatformTex,unknown,object:object_mjin_ice,MEDIUM,"water keyword; metal keyword; multiple categories plausible: METAL, WATER"
gOcarinaWarpPadOcarinaTex,pool,object:object_mjin_oka,HIGH,water keyword
gOcarinaWarpPadSideTex,pool,object:object_mjin_oka,HIGH,water keyword
gMorphaWaterTex,unknown,object:object_mo,HIGH,water keyword
gMoriWaterTex,unknown,object:object_mori_tex,HIGH,water keyword
gKakarikoWellWaterTex,unknown,object:object_spot01_objects,MEDIUM,"water keyword; stone keyword; multiple categories plausible: STONE, WATER"
gLakeHyliaWaterTempleGateTex,lake,object:object_spot06_objects,MEDIUM,"water keyword; skin/body-part keyword; wood keyword; stone keyword; multiple categories plausible: SKIN, STONE, WATER, WOOD"
gLakeHyliaWaterTempleKeyTex,lake,object:object_spot06_objects,MEDIUM,"water keyword; metal keyword; stone keyword; multiple categories plausible: METAL, STONE, WATER"
gLakeHyliaWaterTex,lake,object:object_spot06_objects,HIGH,water keyword
gLakeHyliaZoraShortcutIceblockTex,lake,object:object_spot06_objects,MEDIUM,"water keyword; ice keyword; smoke keyword; metal keyword; stone keyword; multiple categories plausible: ICE, METAL, SMOKE, STONE, WATER"
gZorasFountainBombableWallTex,fountain,object:object_spot08_obj,MEDIUM,"water keyword; metal keyword; stone keyword; multiple categories plausible: METAL, STONE, WATER"
gZorasFountainIceRampLowerSideTex,fountain,object:object_spot08_obj,MEDIUM,"water keyword; ice keyword; multiple categories plausible: ICE, WATER"
gZorasFountainIceRampMiddleSlopeTex,fountain,object:object_spot08_obj,MEDIUM,"water keyword; ice keyword; multiple categories plausible: ICE, WATER"
gZorasFountainIceRampSurfaceTex,fountain,object:object_spot08_obj,MEDIUM,"water keyword; ice keyword; skin/body-part keyword; multiple categories plausible: ICE, SKIN, WATER"
gZorasFountainIceRampUpperSideTex,fountain,object:object_spot08_obj,MEDIUM,"water keyword; ice keyword; multiple categories plausible: ICE, WATER"
