id,english,current_spanish,category,risk_level,context_source,context_summary,literal_translation_risk,gameplay_risk,terminology_risk,decision,corrected_spanish,confidence,notes
Z_MESSAGE_OTR::L118,"You got a rGold Skulltula Tokenw!
You've collected r[gsCount]w tokens
in total!\x0E\x3C","¡Obtuviste un Token de Gold Skulltula!
¡Has coleccionado r[gsCount]w tokens
en total!\x0E\x3C",NPC_DIALOGUE,MEDIUM_RISK,soh/soh/z_message_OTR.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,HIGH,CORRECTED,¡Obtuviste un %rToken de Skulltula Dorada%w!&¡Has recolectado %r[[gsCount]]%w tokens&en total!\x0E\x3C,HIGH,Fix untranslated 'Gold' in 'Token de Gold Skulltula' and restore %r/%w color tags
Z_MESSAGE_OTR::L126,"You got a rGold Skulltula Tokenw!
You've collected r[gsCount]w tokens
in total!","¡Obtuviste un Token de Gold Skulltula!
¡Has coleccionado r[gsCount]w tokens
en total!",NPC_DIALOGUE,HIGH_RISK,soh/soh/z_message_OTR.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,HIGH,CORRECTED,"¡Obtuviste un Token de Skulltula Dorada!
¡Has coleccionado r[gsCount]w tokens
en total!",HIGH,Terminology alignment: Untranslated Gold Skulltula: 'Gold Skulltula' -> 'Skulltula Dorada'
Z_MESSAGE_OTR::L134,"\x08rBombchu  10 pieces  99 Rupees
wThis looks like a toy mouse, but
it's actually a","\x08rBombchu  10 piezas  99 Rupias
wEsto parece un ratón de juguete, pero
en realidad es un",NPC_DIALOGUE,LOW_RISK,soh/soh/z_message_OTR.cpp,NPC_DIALOGUE message,LOW,LOW,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L142,\x08,\x08,NPC_DIALOGUE,LOW_RISK,soh/soh/z_message_OTR.cpp,NPC_DIALOGUE message,LOW,LOW,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L148,"You got a rHeart Containerw!
You've collected r[heartContainerCount]w containers
in total!","¡Obtuviste un Contenedor de Corazón!
¡Has coleccionado r[heartContainerCount]w contenedores
en total!",NPC_DIALOGUE,HIGH_RISK,soh/soh/z_message_OTR.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L154,"You got a rHeart Piecew!
You've collected r[heartPieceCount]w pieces
in total!","¡Obtuviste una Pieza de Corazón!
¡Has coleccionado r[heartPieceCount]w piezas
en total!",NPC_DIALOGUE,HIGH_RISK,soh/soh/z_message_OTR.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L160,"You look bored. Wanna go out for a
walk?\x1B
gYes
Now","Pareces aburrido. ¿Quieres salir a
caminar?\x1B
Sí
Ahora",NPC_DIALOGUE,LOW_RISK,soh/soh/z_message_OTR.cpp,NPC_DIALOGUE message,LOW,LOW,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L165,"Hey! Hey!
You can't take the rod out of here!
I'm serious!
--- PAGE ---
Do you want to quit?
\x1B
gYes
Now","¡Oye! ¡Oye!
¡No puedes sacar la caña de aquí!
¡En serio!
--- PAGE ---
¿Quieres abandonar?
\x1B
Sí
Ahora",NPC_DIALOGUE,LOW_RISK,soh/soh/z_message_OTR.cpp,NPC_DIALOGUE message,LOW,LOW,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L172,"I'm sorry I can't sell you these fine specimens, they need an #experienced owner#.
--- PAGE ---","Lo siento, no puedo venderte estos finos ejemplares, necesitan un #dueño experimentado#.
--- PAGE ---",NPC_DIALOGUE,LOW_RISK,soh/soh/z_message_OTR.cpp,NPC_DIALOGUE message,LOW,LOW,LOW,ACCEPT,,HIGH,
Z_MESSAGE_OTR::L177,You have #,Tienes #,NPC_DIALOGUE,LOW_RISK,soh/soh/z_message_OTR.cpp,NPC_DIALOGUE message,LOW,LOW,LOW,ACCEPT,,HIGH,
