id,english,spanish,direction_check,number_check,sequence_check,object_check,decision,notes
0x003A,You found the Ocarina of Time! This is the Royal Family's hidden  treasure which Zelda left behind. It glows with a mystical light...,¡Encontraste la Ocarina del Tiempo! Este es el tesoro oculto de la Familia Real que Zelda dejó atrás. Brilla con una luz mística...,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0040,You received the Light Medallion! Rauru the Sage adds his power to yours!,¡Recibiste la Medalla de la Luz! ¡Rauru el Sabio agrega su poder al tuyo!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x004C,"You got a Deku Shield! Switch to the Equipment  Subscreen and select the shield. Press [A] to equip it. --- PAGE --- Press [C-Down] to crouch and defend. If you press [C-Down] while  [C-Left] Targeting, you can move while defending.","¡Obtuviste un Escudo Deku! Cambia al submenú de Equipo y selecciona el escudo. Presiona [A] para equiparlo. --- PAGE --- Presiona [C-Down] para agacharte y defenderte. Si presionas [C-Down] mientras tienes [C-Left] como objetivo, puedes moverte defendiendo.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x004D,"You got a Hylian Shield! Switch to the Equipment  Subscreen and select this shield, then equip it with [A].","¡Obtuviste un Escudo Hyliano! Cambia al submenú de Equipo y selecciona este escudo, luego equípalo con [A].",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x004E,You found the Mirror Shield! The shield's polished surface can reflect light or energy. Press [C-Down] to use it.,¡Encontraste el Escudo Espejo! La superficie pulida del escudo puede reflejar luz o energía. Presiona [C-Down] para usarlo.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0072,You got the Light Arrow! Set it to [C] and your arrows will be powered up! The light of justice will smite evil!,¡Obtuviste la Flecha de Luz! Asígala a [C] y tus flechas se ¡potenciarán! ¡La luz de la justicia castigará el mal!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0078,You have learned the  Prelude of Light!,¡Has aprendido el Preludio de la Luz!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x009F,"Deku Shield   40 Rupees Once equipped, you can defend  with [C-Down]. If set on fire, it will burn!","Escudo Deku   40 Rupias Una vez equipado, puedes defenderte con [C-Abajo]. Si se incendia, ¡se quemará!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x00CD,You got the Silver Scale! Jump into the water and press  [A]. You can dive deeper than you could before.,¡Obtuviste la Escama de Plata! Salta al agua y presiona  [A]. Puedes bucear más profundo de lo que podías antes.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x00CE,You got the Golden Scale! Jump into the water and press  [A]. Now you can dive much deeper than you could before!,¡Obtuviste la Escama de Oro! Salta al agua y presiona  [A]. ¡Ahora puedes bucear mucho más profundo de lo que podías antes!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x00D3,You've learned the Sun's Song!,¡Aprendiste la Canción del Sol!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x00EC,You can use Din's Fire not only to attack but also to burn things!,¡Puedes usar el Fuego de Din no solo para atacar sino también para quemar cosas!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0106,It looks like that torch was burning not too long ago...,Parece que esa antorcha estaba encendida hace no mucho tiempo...,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0108,"Stand next to this block and grab hold of it with [A]. While holding [A], you can push or pull it. --- PAGE --- If you stand next to the block and press [A] while pressing [D-Pad] towards the block, you can climb on top of it. --- PAGE --- Pay attention to what the Action Icon says!","Párate junto a este bloque y agárralo con [A]. Mientras mantengas [A], puedes empujarlo o jalarlo. --- PAGE --- Si te paras junto al bloque y presionas [A] mientras presionas [D-Pad] hacia el bloque, puedes escalar encima de él. --- PAGE --- ¡Presta atención a lo que dice el Icono de Acción!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x010C,"After you get into the water, if you hold down [A], you can dive! I bet there are some interesting things underwater!","Después de que entres al agua, si mantienes presionado [A], ¡puedes bucear! ¡Apuesto a que hay cosas interesantes debajo del agua!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0116,"With that switch on, the moving platform goes higher. Now you can quickly reach the second floor!","Con ese interruptor encendido, la plataforma móvil sube más. ¡Ahora puedes llegar rápidamente al segundo piso!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0133,"This switch... It doesn't look like you can press it down with your weight alone, [PLAYER]...","Este interruptor... No parece que puedas presionarlo solo con tu peso, [PLAYER]...",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0139,There's a switch beyond this  wall!,¡Hay un interruptor más allá de esta pared!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x016C,"If all six Sages come together,  we can imprison Ganondorf, the  King of Evil, in the Sacred Realm. --- PAGE --- But, in order to make a perfect seal, we need the seventh  Sage. --- PAGE --- Someone you know must be that Sage, [PLAYER]... --- PAGE --- From now on, you must travel  between past and future to awaken the remaining Sages! --- PAGE --- Keep up the good work, [PLAYER]!","Si los seis Sabios se unen, podemos encarcelar a Ganondorf, el Rey Malvado, en el Reino Sagrado. --- PAGE --- Pero, para hacer un sello perfecto, necesitamos al séptimo Sabio. --- PAGE --- Alguien que conoces debe ser ese Sabio, [PLAYER]... --- PAGE --- ¡De ahora en adelante, debes viajar entre el pasado y el futuro para despertar a los Sabios restantes! --- PAGE --- ¡Sigue con el buen trabajo, [PLAYER]!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x018D,"Look, [PLAYER]! A torch is lit! That's because you beat a ghost, isn't it?!","¡Mira, [PLAYER]! ¡Una antorcha está encendida! Eso es porque derrotaste a un fantasma, ¿no?!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0194,"This...this is the same torch we saw at the entrance to the temple, isn't it?","Esto... esta es la misma antorcha que vimos en la entrada al templo, ¿no?",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0195,This torch is lit...that means...,Esta antorcha está encendida... eso significa...,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0197,This switch is frozen!,¡Este interruptor está congelado!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x01A9,This switch looks rusted.,Este interruptor parece oxidado.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0212,Show me the light!,¡Enséñame la luz!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x021A,Shine light on the living dead...,Ilumina con luz a los muertos vivientes...,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x021F,"When water fills the lake,  shoot for the morning light.","Cuando el agua llene el lago, dispara hacia la luz de la mañana.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0229,"Malon's gone to sleep! I'm goin' to sleep now, too. Come back again when it's light out!",¡Malon se fue a dormir! ¡Yo también voy a dormir ahora. ¡Vuelve cuando amanezca!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0237,One with silver hands shall move a giant block!,¡Aquel con manos de plata moverá un bloque gigante!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x032B,High Dive Practice Spot Are you confident in your diving skill?,Lugar de Práctica de Saltos Altos ¿Tienes confianza en tus habilidades de buceo?,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0343,"Switch Targeting If you see a [Control Stick] icon above an  object, you can target it with [C-Left]. --- PAGE --- In other words, if you press [C-Left]  when you see [Control Stick] above an object, you can lock on to it. --- PAGE --- If you press [C-Left] again, the lock will either release or it will transfer to the next object with the [Control Stick] above it. --- PAGE --- When you have many enemies in your field of view and you want to escape, press [C-Left] while holding back on [D-Pad] to cancel targeting. --- PAGE --- You can target the stones next to this sign for practice!","Apuntado con Objetivo Si ves un ícono de [Control Stick] sobre un objeto, puedes apuntar con [C-Left]. --- PAGE --- En otras palabras, si presionas [C-Left] cuando veas [Control Stick] sobre un objeto, puedes fijarte en él. --- PAGE --- Si presionas [C-Left] de nuevo, la fijación se soltará o se transferirá al siguiente objeto con [Control Stick] sobre él. --- PAGE --- Cuando tengas muchos enemigos en tu campo de visión y quieras escapar, presiona [C-Left] mientras retrocedes con [D-Pad] para cancelar el apuntado. --- PAGE --- ¡Puedes apuntar a las piedras junto a esta señal para practicar!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x041B,They say that there is a switch  that you can activate only by using the Spin Attack.,Dicen que es posible encontrar un interruptor que solo puedes activar usando el Ataque Giratorio.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0611,"Fire Keese Destroy it before it flies into you! If you don't, its flames will burn up your Deku Shield!","Fire Keese ¡Destruyelo antes de que vuele hacia ti! Si no lo haces, sus llamas ¡quemarán tu Escudo Deku!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0623,"Torch Slug When the fire on its back is extinguished, it will run away. Destroy it before it relights!","Torch Slug Cuando se apague el fuego en su espalda, saldrá corriendo. ¡Destruyelo antes de que se reencienda!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0875,Play the Prelude of Light!,¡Toca el Preludio de la Luz!,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0879,Keep the Sun's Song in your heart.,Guarda la Canción del Sol en tu corazón.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x0898,You played the Prelude of Light.,Tocaste el Preludio de la Luz.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x089C,You played the Sun's Song.,Tocaste la Canción del Sol.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
