id,type,before,after,reason
0x00BF,DASH_NORMALIZATION,¿Eh? ¿Qué—! --- PAGE --- ¡Uh-oh! --- PAGE --- ¡Un cliente!,¿Eh? ¿Qué-! --- PAGE --- ¡Uh-oh! --- PAGE --- ¡Un cliente!,Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x0310,DASH_NORMALIZATION,Centro de Entrenamiento del Bosque ¡No cortes letreros temerariamente— ¡leelos con cuidado!,Centro de Entrenamiento del Bosque ¡No cortes letreros temerariamente- ¡leelos con cuidado!,Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x0311,DASH_NORMALIZATION,Todos aquellos lo bastante temerarios como para aventurarse en el desierto—por favor visiten nuestra tienda. --- PAGE --- Mercader de Alfombras,Todos aquellos lo bastante temerarios como para aventurarse en el desierto-por favor visiten nuestra tienda. --- PAGE --- Mercader de Alfombras,Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x061B,CORRUPTION_REMOVED,Stalfos ¡Atráelo cerca de ti y observa su movimiento con cuidado! Atácalo when它放松警惕时,Stalfos ¡Atráelo cerca de ti y observa su movimiento con cuidado! ¡Atácalo cuando baje la guardia!,Removed automated MT residual 'when它放松警惕时' -> '¡Atácalo cuando baje la guardia!'
0x088B,TRAILING_NULL_REMOVED,'\x00','',Removed trailing null byte from plain text message
0x2022,DASH_NORMALIZATION,"Los niños no pueden ir a la ""Emocionante Gira de Excavación de Tumbas"" que describe el letrero. --- PAGE --- Como no puedo hacer eso, solo estoy imitando a Damp— el sepulturero todo el día. --- PAGE --- Pero con mi cara linda, no estoy para nada emocionante, ¿verdad?","Los niños no pueden ir a la ""Emocionante Gira de Excavación de Tumbas"" que describe el letrero. --- PAGE --- Como no puedo hacer eso, solo estoy imitando a Damp- el sepulturero todo el día. --- PAGE --- Pero con mi cara linda, no estoy para nada emocionante, ¿verdad?",Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x2023,DASH_NORMALIZATION,"¡Gyaah! ¡Es Damp— el sepulturero! --- PAGE --- ??? --- PAGE --- Oh, es solo una máscara. Recibo un tipo diferente de susto de esa máscara que el de Damp—... --- PAGE --- ¿Me darás esa máscara?  [CHOICE:2]Sí De ninguna manera","¡Gyaah! ¡Es Damp- el sepulturero! --- PAGE --- ??? --- PAGE --- Oh, es solo una máscara. Recibo un tipo diferente de susto de esa máscara que el de Damp-... --- PAGE --- ¿Me darás esa máscara?  [CHOICE:2]Sí De ninguna manera",Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x2026,DASH_NORMALIZATION,"Con esta máscara, ¡seré igual que Damp—!  ¡Aquí está mi dinero!","Con esta máscara, ¡seré igual que Damp-!  ¡Aquí está mi dinero!",Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x2028,DASH_NORMALIZATION,¡Voy a cavar y cavar!  ¡¡Igual que Damp—!!,¡Voy a cavar y cavar!  ¡¡Igual que Damp-!!,Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x5073,DASH_NORMALIZATION,¡No causen problemas! ¡Le diré a Damp–!,¡No causen problemas! ¡Le diré a Damp-!,Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x5077,DASH_NORMALIZATION,"¿Viste al Sr. Damp–, que vive en el cementerio adelante? --- PAGE --- Es  ahora, así que probablemente esté dormido en su cabaña. --- PAGE --- ¿Por qué no sales al  campo y matas el tiempo?","¿Viste al Sr. Damp-, que vive en el cementerio adelante? --- PAGE --- Es  ahora, así que probablemente esté dormido en su cabaña. --- PAGE --- ¿Por qué no sales al  campo y matas el tiempo?",Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
0x507B,DASH_NORMALIZATION,"¡Te digo, lo vi! --- PAGE --- Vi la figura fantasmal de Damp– el sepulturero hundiéndose en su tumba. ¡Parecía que sostenía algún tipo de tesoro!","¡Te digo, lo vi! --- PAGE --- Vi la figura fantasmal de Damp- el sepulturero hundiéndose en su tumba. ¡Parecía que sostenía algún tipo de tesoro!",Normalized typographic em/en-dashes to standard N64 font hyphen-minus '-'
